WigleWifi-1.4,appRelease=2.25,model=SM-A520F,release=6.0.1,device=a5y17lte,display=MMB29K.A520FXXU1AQF3,board=universal7880,brand=samsung
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
78:e8:b6:69:2a:e9,smartsell,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS][BLE],2017-10-27 16:34:47,11,-87,32.1675586234778,34.8099447973073,61.7000007629395,5.5,WIFI
06:8d:db:6e:71:6d,,[ESS],2017-10-27 16:34:47,1,-86,32.1675586234778,34.8099447973073,61.7000007629395,5.5,WIFI
_6601_3021435,,UNKNOWN;il,2017-10-27 16:34:47,0,-113,32.1675586234778,34.8099447973073,61.7000007629395,5.5,GSM
06:8d:db:6e:71:c1,,[ESS],2017-10-27 16:35:34,11,-90,32.1676037181169,34.8099287040532,50.9000015258789,2,WIFI
_6701_5730076,,UNKNOWN;il,2017-10-27 16:35:34,0,-113,32.1676037181169,34.8099287040532,50.9000015258789,2,GSM
06:8d:db:6e:71:bf,,[ESS],2017-10-27 16:35:39,1,-82,32.167478618212,34.8096843715757,44.2000007629395,2,WIFI
